bal_150_t-1,bal_250_t-1,bal_350_t-1,bal_energy_band_low_t-1,bal_energy_band_medium_t-1,bal_energy_band_high_t-1,6004_FTF_t-1,6004_BSF_t-1,6004_BPFO_t-1,6004_BPFI_t-1,bal_150_t,bal_250_t,bal_350_t,bal_energy_band_low_t,bal_energy_band_medium_t,bal_energy_band_high_t,6004_FTF_t,6004_BSF_t,6004_BPFO_t,6004_BPFI_t
-9.9615490005,-7.7505561589,-9.552639003,-802.4068057554,-2848.5957040967,-7158.0797257851,-47.0056935131,-38.1495945959,-38.5598195875,-38.3110018766,-9.8052322922,-8.0395857832,-9.2842031823,-911.9083516315,-3069.0099510879,-7354.1113069022,-51.5602261462,-43.7374239516,-42.7439998682,-41.2069611991
-9.8204848773,-7.7683091324,-9.2096716212,-801.2666528054,-2892.286269425,-7133.5379403259,-50.7032741622,-36.728438352,-40.6444294608,-38.7325650341,-9.7825676058,-7.8809896551,-9.2199537324,-902.0714840384,-3075.9685376656,-7341.5910401215,-48.9460997988,-43.5254006699,-42.2250155102,-42.6513318294
-10.0240649625,-7.7522223623,-9.3117225147,-819.9886033405,-2918.4492157953,-7138.8930858406,-52.5775014424,-39.0611915269,-36.95764478,-39.0543922863,-10.0073987619,-7.6729073631,-9.0775126105,-905.787448799,-3090.8897041251,-7371.7731769091,-52.3788511295,-43.6066915062,-43.9307404492,-40.6128476898
-10.3011376268,-7.6498461214,-9.3538806335,-807.4909728182,-2884.3934741981,-7172.686455823,-48.2958883551,-37.4565320048,-34.8819275084,-38.9950648366,-10.0688339763,-7.9475984717,-9.3057622936,-902.05622627,-3065.49128684,-7343.4937742688,-46.9241515909,-43.8012538678,-40.4869338971,-40.4617371612
-9.5922784081,-7.9113941041,-9.6332550985,-821.4436412944,-2878.8933878615,-7177.6613873814,-52.5974143419,-39.5200892013,-37.083866748,-40.4214648725,-9.821205755,-7.776711935,-9.4329273419,-906.0448206128,-3087.7324830711,-7336.5899409242,-47.2977710556,-44.2948674318,-41.2074233599,-40.1389826532
-9.7986892869,-7.7500762486,-9.2499650321,-803.3350949299,-2903.5637040425,-7135.0126449051,-49.7642550429,-37.0285903985,-37.6103241703,-40.4950432975,-9.7723007626,-7.9265381773,-9.1013045771,-908.0665204622,-3068.2849563033,-7346.6402485876,-51.0328024858,-43.8616984153,-40.7289582922,-40.3437917937
-10.0611379549,-7.9623349108,-9.5899343661,-822.3115512981,-2874.5840690858,-7171.9611040378,-52.7900752004,-37.5673602335,-34.7407649064,-38.5194258727,-9.8015696494,-7.9137196327,-9.1342663606,-900.9149375921,-3083.4264108915,-7364.9725964306,-49.7673495707,-42.4757331451,-39.6955278209,-40.4290575895
-10.0006973684,-7.7732824049,-9.578849794,-825.5967390892,-2885.3424509805,-7184.997238814,-53.1433620896,-39.1791782248,-35.7464196972,-41.9680010416,-9.7569285551,-7.97515027,-9.2885218353,-907.2022992115,-3074.6882193436,-7373.4818347998,-49.7371156597,-41.4194226042,-39.3295159198,-40.9893759669
-9.7777041019,-7.8862442097,-9.5344577835,-815.9695909156,-2893.1179113743,-7185.7481985219,-52.5729256804,-38.5883464474,-36.5867730795,-37.8847296697,-9.739956522,-7.8047957662,-9.2267477999,-910.3811833891,-3079.766327933,-7338.4839698986,-49.7023215518,-42.0072232238,-40.2969814458,-41.6474556497
-10.0574029812,-7.7071602803,-9.5277248472,-806.7471872989,-2879.1498883457,-7149.8150046067,-47.3363935687,-36.698789858,-35.1893890695,-39.0396205481,-9.7773569691,-7.8887198675,-9.0660047761,-895.9823765897,-3087.1316909763,-7358.4303092427,-49.530384104,-42.2538045669,-41.4831137839,-40.5323027316
-9.7731168825,-7.842472801,-9.6758770823,-799.2626953522,-2867.7065810761,-7161.8730078589,-49.4167423321,-38.0356161842,-34.1150537965,-40.5201302735,-10.0148894388,-7.9823530823,-9.2980227168,-922.8511860048,-3092.7374506628,-7375.404200892,-50.1899834515,-44.3945929934,-41.5749146157,-41.0466730837
-9.646270265,-7.7628000323,-9.3079434661,-782.7881806818,-2852.4080714309,-7154.6451424245,-46.5531290545,-37.529768738,-35.9126518938,-39.9385859238,-9.6469469287,-7.9123708778,-9.4234025525,-896.9634271242,-3067.053671884,-7342.4845853025,-48.2033055316,-44.41964849,-41.457932849,-41.0972524728
-9.4849049483,-7.7437230948,-9.3535040792,-809.3521136525,-2860.0168265229,-7167.5553254972,-49.670485251,-38.9612493284,-35.5850311827,-38.7613399023,-9.7715398997,-7.7345877432,-9.1933401164,-902.1584070902,-3082.7189622955,-7385.6398307244,-48.4528206745,-44.1621942269,-42.8836153964,-40.7162204908
-9.1680756553,-7.8132165419,-9.2648510085,-815.2776745796,-2873.2106052904,-7146.1293203033,-49.7317686587,-37.9263427069,-39.1201523379,-40.8380932207,-9.7455071188,-7.9588698833,-9.1421439385,-913.3592110828,-3092.3437597306,-7342.8737229199,-49.8695710894,-42.6151624861,-40.2870533036,-39.4360702659
-9.277098412,-7.8592644089,-9.318193698,-792.0128668048,-2862.1128357558,-7130.1199266855,-48.2259241608,-37.0380685026,-35.1098082395,-39.7187349203,-9.9530250475,-7.7305827786,-9.2344749514,-895.4020469069,-3098.0485445986,-7341.4750837685,-46.9866110319,-43.0126115788,-42.456786196,-41.1492202022
-9.3009469993,-7.7759869885,-9.4953733858,-799.173617482,-2869.6620772228,-7152.0197722994,-47.7078992114,-38.2042148007,-35.0865435736,-39.42207239,-9.8683477923,-7.7923825996,-8.9948313869,-894.9551408998,-3088.4854665926,-7346.5293283582,-45.7928606274,-43.0658869016,-40.5751494467,-40.8519783558
-9.1079587522,-7.6924810539,-9.1503334962,-805.0705885507,-2847.958740303,-7137.4781981313,-48.8839278036,-37.4565954018,-34.3542461625,-39.5515484032,-10.031777444,-7.7950418086,-9.0944722234,-895.3280712103,-3085.1202334804,-7348.7973243984,-49.5608489944,-43.0595599878,-40.3088895601,-39.9366641225
-9.6439618147,-7.7065051122,-9.3431100977,-802.120363256,-2864.7981312461,-7131.4253747072,-49.9620317008,-38.9760135882,-36.6649603909,-41.5207158166,-9.8688328404,-7.7914204649,-9.0267692328,-902.191110546,-3087.2097749978,-7360.928470529,-50.3104458468,-42.5955729715,-41.4401716757,-40.7953735822
-9.7154816327,-7.8677677295,-9.4112599886,-820.6502480854,-2858.9808664253,-7167.1885346952,-55.7356633335,-38.485115323,-36.9404148123,-38.5659460836,-9.8569159297,-7.7993237469,-9.0682549141,-906.361546761,-3094.2427089535,-7354.0835223608,-47.5489153644,-44.2779549814,-42.2420313659,-41.1890155635
-9.4858172261,-7.828851456,-9.4223410873,-804.7940722645,-2852.6190298832,-7167.8103791085,-49.8108063764,-39.016030546,-35.4996078495,-39.3335624638,-9.9632130583,-7.7849586674,-9.0737612301,-893.1849464763,-3070.4873822921,-7369.5691093873,-45.4806181437,-43.7635525849,-42.9051321211,-39.796486256
